상품명,URL,요약정보,여행도시,리뷰_평균점수,식사,가성비,가이드,숙소,일정,이동수단,상품명_리뷰수, 10대 이하,20대,30대,40대,50대,60대 이상 ,가족여행,나혼자,단체여행,친구들과,커플
"[대한항공][노쇼핑] 북인도 완전일주 9일(국내선1회,특급열차1회,타지마할,갠지스강일출,특식3회)",https://www.modetour.com/package/90017121,"7박9일,대한항공직항,쇼핑 없음,가이드 경비$160,선택관광있음","바라나시, 카주라호, 아그라, 자이푸르, 뉴델리, 사르나트, 아바네리",4.7,3,0,7,2,4,2,11,0,0,0,2,4,4,3,1,0,5,1
[더 현대LIVE] (김포출발)[노쇼핑/101전망대/천등체험/특식3회]대만/예류/스펀/지우펀 3일,https://www.modetour.com/package/95910654,"2박3일,이스타항공직항,쇼핑 없음,가이드 경비$30,선택관광있음","기륭, 타이페이",4.8,30,9,205,32,48,14,370,1,5,16,80,121,74,170,5,8,62,52
[더 현대LIVE] (오후출발)[노쇼핑/101전망대/천등체험/특식4회]대만/단수이/예류/스펀/지우펀 4일,https://www.modetour.com/package/96178091,"3박4일,대한항공직항,쇼핑 없음,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.8,30,9,205,32,48,14,370,1,5,16,80,121,74,170,5,8,62,52
[더 현대LIVE] (타이중IN-OUT)[노쇼핑/101전망대/천등체험/특식4회]대만/단수이/예류/스펀/지우펀 4일,https://www.modetour.com/package/95910116,"3박4일,대한항공직항,쇼핑 없음,가이드 경비$40,선택관광있음","단수이, 기륭, 타이페이",4.8,30,9,205,32,48,14,370,1,5,16,80,121,74,170,5,8,62,52
[더 현대LIVE] [노쇼핑/101전망대/천등체험/특식4회]대만/단수이/예류/스펀/지우펀 4일,https://www.modetour.com/package/95909927,"3박4일,중화 항공직항,쇼핑 없음,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.8,60,18,410,64,96,28,740,2,10,32,160,242,148,340,10,16,124,104
[더 현대LIVE] [청주출발][노쇼핑/101전망대/천등체험/특식4회]대만/단수이/예류/스펀/지우펀 4일,https://www.modetour.com/package/95945295,"3박4일,에어로케이직항,쇼핑 없음,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.8,1,0,2,0,1,0,4,0,1,0,0,1,2,1,0,0,3,0
[도미인온천호텔-트윈룸] 오사카/고베 3일 (교토관광VS유니버셜스튜디오),https://www.modetour.com/package/89791926,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광있음,인솔자동행,자유일정포함","오사카, 교토, 고베",4.8,0,0,10,1,6,0,27,0,0,2,5,6,1,10,0,0,4,0
[도전초특가] 세부 5일 (마리바고 리조트 - 디럭스) (다이빙강습+발마사지),https://www.modetour.com/package/90305804,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.708536585,7,15,42,16,11,3,82,0,3,3,22,11,2,27,0,1,10,3
[도전초특가] 세부 5일 (벨몬트 호텔-슈페리어디럭스) (다이빙강습+발마사지),https://www.modetour.com/package/92141316,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.708536585,7,15,42,16,11,3,82,0,3,3,22,11,2,27,0,1,10,3
[도전초특가] 세부 5일 (비(BE) 리조트-비쿨룸) (다이빙강습+발마사지),https://www.modetour.com/package/90305551,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.708536585,7,15,42,16,11,3,82,0,3,3,22,11,2,27,0,1,10,3
[도전초특가] 세부 5일 (솔레아 리조트 - 프리미어시티뷰) (다이빙강습+발마사지),https://www.modetour.com/package/90305897,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.708536585,7,15,42,16,11,3,82,0,3,3,22,11,2,27,0,1,10,3
[도전초특가] 세부 5일 (알테라 리조트 - 디럭스 시티뷰룸) (다이빙강습+발마사지),https://www.modetour.com/package/90305679,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.708536585,7,15,42,16,11,3,82,0,3,3,22,11,2,27,0,1,10,3
[도전초특가] 세부 5일 (티샤인 호텔 - 디럭스룸) (다이빙강습+발마사지),https://www.modetour.com/package/90305302,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.73697479,11,23,72,26,18,5,119,0,4,5,29,14,2,36,0,1,13,4
[동굴온천] 와카야마/시라하마/쿠시모토/오사카 3일,https://www.modetour.com/package/89794747,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행,자유일정포함","구시모토, 시라하마, 와카야마, 오사카, 가츠우라",4.8,0,0,10,1,6,0,27,0,0,2,5,6,1,10,0,0,4,0
[두나라여행] [국제선1회+육로이동] 쿠알라룸푸르/말라카/싱가포르 5일 [월드체인 호텔],https://www.modetour.com/package/89145330,"3박5일,말레이시아항공경유,쇼핑 1회,가이드 경비$50,선택관광있음","말라카, 쿠알라룸푸르, 싱가포르, 조호바루",4.2,0,0,6,4,2,0,28,0,0,0,4,10,4,4,2,4,8,0
[두나라여행] [국제선1회+육로이동] 쿠알라룸푸르/말라카/싱가포르 5일 [특급호텔],https://www.modetour.com/package/89145099,"3박5일,말레이시아항공경유,쇼핑 1회,가이드 경비$50,선택관광있음","말라카, 쿠알라룸푸르, 싱가포르, 조호바루",4.2,0,0,6,4,2,0,28,0,0,0,4,10,4,4,2,4,8,0
[두나라여행] 쿠알라룸푸르/말라카/싱가포르 5일 [월드체인 호텔],https://www.modetour.com/package/87913545,"3박5일,대한항공직항,쇼핑 1회,가이드 경비$50,선택관광있음","쿠알라룸푸르, 말라카, 싱가포르",4.2,0,0,3,2,1,0,14,0,0,0,2,5,2,2,1,2,4,0
[두나라여행] 쿠알라룸푸르/말라카/싱가포르 5일 [특급호텔],https://www.modetour.com/package/87913184,"3박5일,대한항공직항,쇼핑 1회,가이드 경비$50,선택관광있음","쿠알라룸푸르, 말라카, 싱가포르",4.2,0,0,3,2,1,0,14,0,0,0,2,5,2,2,1,2,4,0
[두나라여행] 쿠알라룸푸르/말라카/조호바루/싱가포르 6일 [월드체인],https://www.modetour.com/package/87913214,"4박6일,대한항공직항,쇼핑 1회,가이드 경비$60,선택관광있음","쿠알라룸푸르, 말라카, 싱가포르, 조호바루",4.2,0,0,3,2,1,0,14,0,0,0,2,5,2,2,1,2,4,0
[두나라여행] 쿠알라룸푸르/말라카/조호바루/싱가포르 6일 [특급호텔],https://www.modetour.com/package/87913051,"4박6일,대한항공직항,쇼핑 1회,가이드 경비$60,선택관광있음","쿠알라룸푸르, 말라카, 싱가포르, 조호바루",4.2,0,0,3,2,1,0,14,0,0,0,2,5,2,2,1,2,4,0
[득템찬스][아침출발]괌 PIC 스탠다드룸 3박4일<전일정호텔식(골드패스)/아일랜드관광>,https://www.modetour.com/package/92971814,"3박4일,티웨이 항공직항,쇼핑 1회,가이드 경비$30,선택관광있음,자유일정포함",괌,4.7,2,2,14,6,6,2,56,0,0,10,28,6,2,44,0,0,2,0
[디너 크루즈+비경] 하노이+하롱베이+옌뜨 3박5일,https://www.modetour.com/package/88379007,"3박5일,아시아나 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","하롱베이, 하노이",4.8,56,16,357,60,92,42,711,0,16,28,30,128,100,160,2,18,90,32
[디즈니랜드] 상해/주가각 4일 (준5성3연박/아동머리띠제공),https://www.modetour.com/package/90005027,"3박4일,대한항공직항,쇼핑 1회,가이드 경비$40,선택관광있음,자유일정포함",상해,4.8,0,1,20,5,8,4,37,0,3,1,2,2,4,3,1,1,5,2
[딱좋은 온천여행 큐슈] 후쿠오카/유후인/벳부 3일 (전일정온천호텔+간식특전),https://www.modetour.com/package/96180674,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행","후쿠오카, 히타, 유후인, 벳부, 기타큐슈",4,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
[라보야선셋크루즈/노옵션] 하노이/하롱베이/옌뜨 5일 (4성급호텔/45만원상당특전포함),https://www.modetour.com/package/95775900,"3박5일,비엣젯 항공직항,쇼핑 2회,가이드 경비$40,선택관광없음","하롱베이, 하노이",4.5,8,2,42,10,12,6,68,0,0,8,18,20,20,32,0,6,14,14
[라보야선셋크루즈/노옵션] 하노이/하롱베이/옌뜨 5일 (5성급 윈덤가든레전드/45만원상당특전포함),https://www.modetour.com/package/95776940,"3박5일,비엣젯 항공직항,쇼핑 2회,가이드 경비$40,선택관광없음","하노이, 하롱베이",4.5,8,2,42,10,12,6,68,0,0,8,18,20,20,32,0,6,14,14
[라보야선셋크루즈/노옵션] 하노이/하롱베이/옌뜨 5일 (5성급호텔/45만원상당특전포함),https://www.modetour.com/package/95776527,"3박5일,비엣젯 항공직항,쇼핑 2회,가이드 경비$40,선택관광없음","하노이, 하롱베이",4.537333333,8,2,44,10,13,6,75,0,0,8,19,25,21,38,0,6,15,14
[라이브M] 이탈리아 일주 9일 <노쇼핑/돌로미티/친퀘테레/오르비에또/치비타 디 반뇨레죠>,https://www.modetour.com/package/95972972,"7박9일,티웨이 항공직항,쇼핑 없음,가이드 경비EUR90,선택관광있음,자유일정포함","베니스, 피렌체, 돌로미테, 친퀘테레, 폼페이, 바티칸, 소렌토, 로마, 치비타, 몬테카티니",4.6,14,8,108,24,62,14,216,1,6,8,19,42,25,52,3,2,31,13
[란덴열차탑승/팁포함] 오사카/나라/교토+아라시야마 3일 (시내호텔1박+공항근처호텔1박),https://www.modetour.com/package/89794190,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비없음,선택관광없음,인솔자동행,자유일정포함","교토, 오사카",4.8,0,0,10,1,6,0,27,0,0,2,5,6,1,10,0,0,4,0
[럭키세븐/360$상당7가지특전] 베트남+캄보디아 6일(5성호텔UP/BIG버스),https://www.modetour.com/package/95185244,"4박6일,비엣젯 항공경유,쇼핑 4회,가이드 경비$50,선택관광있음","씨엠립, 하롱베이, 하노이",4.8,8,0,30,4,0,0,72,0,6,2,2,8,30,26,4,6,10,2
[럭키세븐/360$상당특전] 베트남+캄보디아 6일,https://www.modetour.com/package/94837297,"4박6일,비엣젯 항공경유,쇼핑 4회,가이드 경비$60,선택관광있음,인솔자동행","씨엠립, 하롱베이, 하노이",4.5,4,1,22,7,8,0,45,0,2,2,2,11,16,13,0,4,13,3
[레이트체크아웃/라운지조식/렌트카2일대여] 괌 3박5일 (힐튼 프리미어타워 파셜오션뷰룸),https://www.modetour.com/package/91993979,"3박5일,진에어직항,쇼핑 1회,가이드 경비$30,선택관광있음,자유일정포함",괌,5,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0
[렛미프리/쇼핑1회/NO팁]코타키나발루 그란디스 5일 (슈페리어룸),https://www.modetour.com/package/92754276,"3박5일,에어부산직항,쇼핑 1회,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
[렛미프리/쇼핑1회/NO팁]코타키나발루 르메르디앙 5일 (어반룸),https://www.modetour.com/package/92754433,"3박5일,에어부산직항,쇼핑 1회,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
[렛미프리/쇼핑1회/NO팁]코타키나발루 샹그릴라 탄중아루 5일 (초특급/키나윙 씨뷰),https://www.modetour.com/package/92754394,"3박5일,에어부산직항,쇼핑 1회,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
[렛미프리/쇼핑1회/NO팁]코타키나발루 수트라하버 마젤란 5일 (초특급/디럭스 씨뷰),https://www.modetour.com/package/92754356,"3박5일,에어부산직항,쇼핑 1회,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0
[렛미프리/쇼핑1회/NO팁]코타키나발루 수트라하버 퍼시픽 5일 (초특급/디럭스 씨뷰),https://www.modetour.com/package/92754317,"3박5일,에어부산직항,쇼핑 1회,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
[렛미프리/쇼핑1회/NO팁]코타키나발루 프로메네이드 5일 (슈페리어룸),https://www.modetour.com/package/92754236,"3박5일,에어부산직항,쇼핑 1회,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
[마하나콘/산호섬] 방콕/파타야 5일 (4성급호텔/아시아티크/베네딕트/마사지1회),https://www.modetour.com/package/91376374,"3박5일,에어부산직항,쇼핑 3회,가이드 경비$40,선택관광있음","방콕, 파타야",4.8,12,3,111,12,33,6,198,0,12,6,63,75,36,69,0,12,81,30
[마하나콘/산호섬] 방콕파타야 3박5일 [4성/아시아티크],https://www.modetour.com/package/86577504,"3박5일,에어부산직항,쇼핑 3회,가이드 경비$40,선택관광있음","파타야, 방콕",4.7,8,2,74,8,38,4,124,0,4,18,34,40,22,62,6,4,38,8
[마하나콘/산호섬] 방콕파타야 3박5일 [5성/아시아티크],https://www.modetour.com/package/86577561,"3박5일,에어부산직항,쇼핑 3회,가이드 경비$40,선택관광있음","파타야, 방콕",4.7,8,2,74,8,38,4,124,0,4,18,34,40,22,62,6,4,38,8
[만족도NO.1 스기노이호텔+온천욕+뷔페식/음료/주류 무제한] 후쿠오카/유후인/벳부 3일,https://www.modetour.com/package/89803346,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행","후쿠오카, 벳부, 유후인",4.9,2,1,11,4,6,0,28,0,1,4,7,5,5,13,0,3,3,3
[맛있다낭/아침출발] 다낭/호이안/바나힐/BBQ플래터+호텔반세오정식 3박5일 [4성호텔],https://www.modetour.com/package/87625395,"3박5일,비엣젯 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.8,65,14,494,61,156,56,925,2,26,57,107,125,80,246,9,21,75,46
[맛있다낭/아침출발] 다낭/호이안/바나힐/BBQ플래터+호텔반세오정식 3박5일 [5성호텔],https://www.modetour.com/package/87626072,"3박5일,비엣젯 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.7,0,0,0,0,0,0,880,0,24,50,144,180,116,296,4,24,138,52
[맛있다낭] 다낭/호이안/바나힐/BBQ플래터+호텔반세오정식 3박4일 [4성호텔],https://www.modetour.com/package/87669074,"3박4일,제주항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.8,65,14,494,61,156,56,925,2,26,57,107,125,80,246,9,21,75,46
[맛있다낭] 다낭/호이안/바나힐/BBQ플래터+호텔반세오정식 3박4일 [5성호텔],https://www.modetour.com/package/87669315,"3박4일,제주항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.7,0,0,0,0,0,0,440,0,12,25,72,90,58,148,2,12,69,26
[맛있다낭] 다낭/호이안/바나힐/BBQ플래터+호텔반세오정식 3박5일 [4성호텔],https://www.modetour.com/package/88041322,"3박5일,에어서울직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.8,390,84,2965,366,936,336,5551,12,156,342,642,750,480,1476,54,126,450,276
[맛있다낭] 다낭/호이안/바나힐/BBQ플래터+호텔반세오정식 3박5일 [5성호텔],https://www.modetour.com/package/87657188,"3박5일,진에어직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.7,0,0,0,0,0,0,2200,0,60,125,360,450,290,740,10,60,345,130
[맛있다낭] 다낭/호이안/바나힐/BBQ플래터+호텔반세오정식 3박5일 [미케비치 4성호텔],https://www.modetour.com/package/87635836,"3박5일,아시아나 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.8,130,28,988,122,312,112,1850,4,52,114,214,250,160,492,18,42,150,92
[맛있다낭] 다낭/호이안/바나힐/BBQ플래터+호텔반세오정식 4박6일 [4성호텔],https://www.modetour.com/package/91299592,"4박6일,에어프레미아직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함","다낭, 호이안",4.8,65,14,494,61,156,56,925,2,26,57,107,125,80,246,9,21,75,46
[맛있다낭] 다낭/호이안/바나힐/BBQ플래터+호텔반세오정식 4박6일 [5성호텔],https://www.modetour.com/package/91299789,"4박6일,에어프레미아직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함","다낭, 호이안",4.7,0,0,0,0,0,0,440,0,12,25,72,90,58,148,2,12,69,26
[맛있다낭] 다낭/호이안/바나힐/호텔반세오정식 3박4일 [4성호텔],https://www.modetour.com/package/87624719,"3박4일,비엣젯 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.8,65,14,494,61,156,56,925,2,26,57,107,125,80,246,9,21,75,46
[메인관광/리버크루즈/특식UP] 오사카/교토/나라 3일 (온천호텔2박),https://www.modetour.com/package/91730978,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광있음,인솔자동행","교토, 나라, 오사카",4.8,0,0,10,1,6,0,27,0,0,2,5,6,1,10,0,0,4,0
[명산기행/NO팁] 북경/백석산+고북수진 5일 (준5성/케이블카/발마사지),https://www.modetour.com/package/92978905,"4박5일,제주항공직항,쇼핑 2회,가이드 경비없음,선택관광있음",북경,5,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0
[명산기행/노쇼핑] 북경/백석산+백리협 4일 (준5성/케이블카/발마사지),https://www.modetour.com/package/96533680,"2박4일,대한항공직항,쇼핑 없음,가이드 경비$40,선택관광있음",북경,4.9,1,0,22,5,8,5,48,0,0,3,0,6,4,4,1,2,5,1
[모두단독 스위트룸 특가] 괌 3박5일 (리가로얄 오션뷰→라구나 스위트룸UP),https://www.modetour.com/package/93021927,"3박5일,진에어직항,쇼핑 1회,가이드 경비$30,선택관광있음,자유일정포함",괌,3.8,0,0,0,1,0,0,3,0,1,0,2,0,0,2,0,0,1,0
[모두단독 스위트룸 특가][성인2아동2] 괌 3박5일 (리가로얄 오션뷰→라구나 스위트룸UP),https://www.modetour.com/package/93025812,"3박5일,진에어직항,쇼핑 1회,가이드 경비$30,선택관광있음,자유일정포함",괌,3.8,0,0,0,1,0,0,3,0,1,0,2,0,0,2,0,0,1,0
[모두의원픽/대표상품] 오사카/나라/교토/아라시야마 여행 3일 (시내호텔 2박),https://www.modetour.com/package/89793044,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광있음,인솔자동행","교토, 나라, 오사카, 난바",4.8,0,0,10,1,6,0,27,0,0,2,5,6,1,10,0,0,4,0
[모두의특가] 하노이+하롱베이+옌뜨 3박5일 [5성UP],https://www.modetour.com/package/87652515,"3박5일,아시아나 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","하노이, 하롱베이",4.8,48,24,438,60,134,64,884,0,30,28,70,178,74,194,10,20,120,36
[모두채움/노옵션+노팁] 하노이+하롱베이+옌뜨 3박5일[5성호텔],https://www.modetour.com/package/87653789,"3박5일,아시아나 항공직항,쇼핑 2회,가이드 경비없음,선택관광없음","하노이, 하롱베이",4.7,26,16,232,66,102,46,456,0,4,22,24,100,88,114,0,8,68,48
[모두픽-시그니처]<노옵션/노팁/쇼핑1회/아쿠아스파> 다낭/호이안/바나힐/1일자유 3박5일 [5성호텔],https://www.modetour.com/package/88039859,"3박5일,에어서울직항,쇼핑 1회,가이드 경비없음,선택관광없음,자유일정포함","다낭, 호이안",5,6,0,72,12,18,6,150,0,0,18,42,66,18,102,0,0,30,12
[무료UPGRADE][반나절관광] 푸꾸옥 소울부티크 5일 (소울 슈페리어룸/노쇼핑/마사지1회),https://www.modetour.com/package/91164555,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.9,3,2,18,8,9,0,45,1,1,10,13,14,3,14,0,4,18,6
[무이네사막/메콩-쪽배투어/시티투어] 호치민X미토X판티엣 3박5일[4성],https://www.modetour.com/package/89374185,"3박5일,베트남 항공직항,쇼핑 2회,가이드 경비$40,선택관광있음,자유일정포함","판티엣, 호치민, 미토",4.7,6,3,42,6,15,0,66,0,0,6,6,24,24,15,0,15,21,9
[무이네사막/메콩-쪽배투어/시티투어] 호치민X미토X판티엣 3박5일[5성],https://www.modetour.com/package/89374327,"3박5일,베트남 항공직항,쇼핑 2회,가이드 경비$40,선택관광있음,자유일정포함","판티엣, 호치민",4.7,6,3,42,6,15,0,66,0,0,6,6,24,24,15,0,15,21,9
[무이네사막/시티투어/오전자유2회] 호치민X판티엣 3박5일[4성],https://www.modetour.com/package/89373927,"3박5일,베트남 항공직항,쇼핑 2회,가이드 경비$40,선택관광있음,자유일정포함","판티엣, 호치민",4.7,6,3,42,6,15,0,66,0,0,6,6,24,24,15,0,15,21,9
[무이네사막/시티투어/오전자유2회] 호치민X판티엣 3박5일[5성],https://www.modetour.com/package/89374057,"3박5일,베트남 항공직항,쇼핑 2회,가이드 경비$40,선택관광있음,자유일정포함","판티엣, 호치민",4.7,6,3,42,6,15,0,66,0,0,6,6,24,24,15,0,15,21,9
[미슐랭★시그니처]<노팁/쇼핑1회> 다낭/바나힐/호이안/자유일정 3박5일 [5성호텔],https://www.modetour.com/package/90863795,"3박5일,에어서울직항,쇼핑 1회,가이드 경비없음,선택관광있음","다낭, 호이안",4.9,16,0,160,32,48,8,248,0,0,8,40,32,16,72,0,0,24,0
[반나절관광/4인기준] 푸꾸옥 뉴월드 풀빌라 5일 (가든2베드룸/노쇼핑/마사지1회),https://www.modetour.com/package/89791013,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
[반나절관광/4인기준] 푸꾸옥 멜리아빈펄 풀빌라 5일 (2베드룸/빈원더스할인/노쇼핑/마사지1회),https://www.modetour.com/package/89788698,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.8,5,1,18,7,3,3,51,0,1,11,19,10,4,36,1,1,5,2
[반나절관광/4인기준] 푸꾸옥 빈펄 원더월드 풀빌라 5일 (2베드룸 풀뷰/빈원더스할인/노쇼핑/마사지1회),https://www.modetour.com/package/89788924,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.8,5,1,18,7,3,3,51,0,1,11,19,10,4,36,1,1,5,2
[반나절관광/4인기준] 푸꾸옥 세일링시그니처 풀빌라 5일 (캐스터2베드룸/노쇼핑/마사지1회),https://www.modetour.com/package/89790282,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.9,3,2,18,8,9,0,45,1,1,10,13,14,3,14,0,4,18,6
[반나절관광/4인기준] 푸꾸옥 프리미어빌리지 풀빌라 5일 (오션2베드룸/노쇼핑/마사지1회),https://www.modetour.com/package/89791106,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
[반나절관광] 푸꾸옥 노보텔 리조트 5일 (슈페리어룸/노쇼핑/마사지1회),https://www.modetour.com/package/89789898,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.9,3,2,18,8,9,0,45,1,1,10,13,14,3,14,0,4,18,6
[반나절관광] 푸꾸옥 두짓프린세스 리조트 5일 (디럭스룸 가든뷰/노쇼핑/마사지1회),https://www.modetour.com/package/89790475,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.9,3,2,18,8,9,0,45,1,1,10,13,14,3,14,0,4,18,6
[반나절관광] 푸꾸옥 빈펄리조트앤스파 리조트 5일 (디럭스룸/빈원더스할인/노쇼핑/마사지1회),https://www.modetour.com/package/89788810,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.8,5,1,18,7,3,3,51,0,1,11,19,10,4,36,1,1,5,2
[반나절관광] 푸꾸옥 쉐라톤롱비치 리조트 5일 (디럭스룸/구.빈펄리조트앤골프/빈원더스할인/노쇼핑/마사지1회),https://www.modetour.com/package/89788559,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.8,5,1,18,7,3,3,51,0,1,11,19,10,4,36,1,1,5,2
[반나절관광] 푸꾸옥 풀만 리조트 5일 (슈페리어룸/노쇼핑/마사지1회),https://www.modetour.com/package/89790083,"3박5일,비엣젯 항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함",푸꾸옥,4.9,3,2,18,8,9,0,45,1,1,10,13,14,3,14,0,4,18,6
[반짝특가][호핑+발마사지] 코타키나발루 르메르디앙(어반룸) 3박5일,https://www.modetour.com/package/86883756,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",코타키나발루,4.4,16,10,135,39,48,7,240,0,18,32,58,65,23,107,4,3,34,47
[반짝특가][호핑+발마사지] 코타키나발루 메리어트(디럭스시티) 3박5일,https://www.modetour.com/package/86883575,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",코타키나발루,4.4,16,10,135,39,48,7,240,0,18,32,58,65,23,107,4,3,34,47
[반짝특가][호핑+발마사지] 코타키나발루 수트라하버 퍼시픽(디럭스룸) 3박5일,https://www.modetour.com/package/86883857,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",코타키나발루,4.4,16,10,135,39,48,7,240,0,18,32,58,65,23,107,4,3,34,47
[반짝특가][호핑+발마사지] 코타키나발루 하얏트리젠시(스탠다드) 3박5일,https://www.modetour.com/package/86883715,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",코타키나발루,4.4,32,20,270,78,96,14,419,0,36,56,96,114,41,188,7,5,60,81
[반짝특가][호핑+발마사지] 코타키나발루 힐튼(게스트룸) 3박5일,https://www.modetour.com/package/86883735,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",코타키나발루,4.4,16,10,135,39,48,7,240,0,18,32,58,65,23,107,4,3,34,47
[베스트/힐링온천/인기상품] 후쿠오카/유후인/벳부/다자이후 3일 (특급힐튼+히젠야호텔),https://www.modetour.com/package/89803090,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행","유후인, 벳부, 후쿠오카, 아소",4.9,2,1,11,4,6,0,28,0,1,4,7,5,5,13,0,3,3,3
[베스트셀러][관광2일+자유2일] 일급 홀리데이 인 익스프레스 <시티뷰> 하와이 6일,https://www.modetour.com/package/94608317,"4박6일,아시아나 항공직항,쇼핑 1회,가이드 경비$60,선택관광있음,자유일정포함",호놀룰루,4.724,4,2,14,6,8,2,50,0,2,8,4,12,4,12,2,0,6,10
[베스트셀러][관광2일+자유2일] 준특급 더블트리 바이 힐튼 <시티마운틴뷰> 하와이 6일,https://www.modetour.com/package/94608376,"4박6일,아시아나 항공직항,쇼핑 1회,가이드 경비$60,선택관광있음,자유일정포함",호놀룰루,4.7,4,2,12,6,8,2,46,0,2,8,2,10,4,12,2,0,6,6
