상품명,URL,요약정보,여행도시,리뷰_평균점수,식사,가성비,가이드,숙소,일정,이동수단,상품명_리뷰수, 10대 이하,20대,30대,40대,50대,60대 이상 ,가족여행,나혼자,단체여행,친구들과,커플
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 그란디스(슈페리어) 3박5일,https://www.modetour.com/package/94098733,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비$50,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,16,8,6,2,20,0,0,0,3,11,0,4,0,4,6,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 그란디스(슈페리어) 4박6일,https://www.modetour.com/package/94100754,"4박6일,제주항공직항,쇼핑 없음,가이드 경비$60,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,8,4,3,1,12,0,0,0,2,7,0,2,0,2,5,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 르메르디앙(어반시티뷰) 4박6일,https://www.modetour.com/package/94124665,"4박6일,제주항공직항,쇼핑 없음,가이드 경비$60,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,8,4,3,1,12,0,0,0,2,7,0,2,0,2,5,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 샹그릴라 라사리아(가든윙가든뷰) 3박5일,https://www.modetour.com/package/88882573,"3박5일,제주항공직항,쇼핑 없음,가이드 경비$50,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,24,12,9,3,36,0,0,0,6,21,0,6,0,6,15,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 샹그릴라 라사리아(가든윙가든뷰) 4박6일,https://www.modetour.com/package/94125029,"4박6일,제주항공직항,쇼핑 없음,가이드 경비$60,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,16,8,6,2,24,0,0,0,4,14,0,4,0,4,10,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 샹그릴라 탄중아루 키나씨뷰 4박6일,https://www.modetour.com/package/94124859,"4박6일,제주항공직항,쇼핑 없음,가이드 경비$60,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,16,8,6,2,24,0,0,0,4,14,0,4,0,4,10,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 샹그릴라 탄중아루(키나윙씨뷰) 3박5일,https://www.modetour.com/package/96524617,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비$50,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,32,16,12,4,48,0,0,0,8,28,0,8,0,8,20,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 수트라하버 마젤란(디럭스 가든뷰) 3박5일,https://www.modetour.com/package/88581338,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비$50,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,48,24,18,6,72,0,0,0,12,42,0,12,0,12,30,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 수트라하버 마젤란(디럭스 가든뷰) 4박6일,https://www.modetour.com/package/94124839,"4박6일,제주항공직항,쇼핑 없음,가이드 경비$60,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,8,4,3,1,12,0,0,0,2,7,0,2,0,2,5,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 수트라하버 퍼시픽(디럭스골프뷰) 3박5일,https://www.modetour.com/package/88498956,"3박5일,제주항공직항,쇼핑 없음,가이드 경비$50,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,32,16,12,4,48,0,0,0,8,28,0,8,0,8,20,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 하얏트리젠시(스탠다드룸) 3박5일,https://www.modetour.com/package/92757461,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비$50,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,8,4,3,1,12,0,0,0,2,7,0,2,0,2,5,0
[$110상당특전/노쇼핑+호핑+라운지] 코타키나발루 하얏트리젠시(스탠다드룸) 4박6일,https://www.modetour.com/package/94124792,"4박6일,제주항공직항,쇼핑 없음,가이드 경비$60,선택관광있음,자유일정포함",코타키나발루,4.5,0,0,8,4,3,1,12,0,0,0,2,7,0,2,0,2,5,0
[$110상당특전/호핑+노쇼핑+노팁+왕복픽업] 세부 모벤픽 디럭스오션뷰(무료UP) 3박5일,https://www.modetour.com/package/93825101,"3박5일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,14,2,44,22,12,8,112,0,6,32,46,12,2,80,0,0,8,10
[$115상당특전/호핑+디럭스가든+아동반값] 세부 제이파크 3박5일,https://www.modetour.com/package/86759168,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.6,16,4,64,24,28,8,149,0,0,8,50,7,0,61,0,0,0,4
[$115상당특전/호핑+시내관광+아동할인] 세부 두짓타니 디럭스가든 3박5일,https://www.modetour.com/package/86744044,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.5,6,3,54,18,27,0,138,0,3,9,33,15,3,42,0,12,9,0
[$115상당특전/호핑+시내관광+아동할인] 세부 샹그릴라 디럭스(메인윙) 3박5일,https://www.modetour.com/package/86748980,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.5,4,2,36,12,18,0,92,0,2,6,22,10,2,28,0,8,6,0
[$115상당특전/호핑+시내관광+아동할인] 세부 쉐라톤 오션룸(무료UP) 3박5일,https://www.modetour.com/package/86746434,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.5,6,3,54,18,27,0,138,0,3,9,33,15,3,42,0,12,9,0
[$115상당특전/호핑+시내관광] 세부 알테라 디럭스씨티뷰 3박5일,https://www.modetour.com/package/86777203,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.5,8,4,72,24,36,0,163,0,3,11,38,19,3,49,0,15,10,0
[$125상당특전/막탄스윗가든+하프보드+아동반값] 세부 제이파크 3박5일,https://www.modetour.com/package/86744188,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.6,12,3,48,18,21,6,123,0,0,6,39,6,0,48,0,0,0,3
[$130상당특전/체크아웃투어+노쇼핑+노팁+왕복픽업] 세부 두짓타니 디럭스가든 3박5일,https://www.modetour.com/package/86752020,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,5,3,0,18,3,9,6,21,0,3,0,12,3,0,12,0,0,3,3
[$130상당특전/체크아웃투어+노쇼핑+노팁+왕복픽업] 세부 샹그릴라 디럭스가든(메인윙) 3박5일,https://www.modetour.com/package/86747852,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,5,2,0,12,2,6,4,14,0,2,0,8,2,0,8,0,0,2,2
[$130상당특전/체크아웃투어+노쇼핑+노팁+왕복픽업] 세부 솔레아 프리미어씨티뷰 3박5일 [리조트디너1회/워터파크],https://www.modetour.com/package/86782187,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,5,4,0,24,4,12,8,28,0,4,0,16,4,0,16,0,0,4,4
[$130상당특전/체크아웃투어+노쇼핑+노팁+왕복픽업] 세부 쉐라톤 오션룸(무료UP) 3박5일,https://www.modetour.com/package/86742716,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,5,3,0,18,3,9,6,21,0,3,0,12,3,0,12,0,0,3,3
[$130상당특전/출국팩+노쇼핑+노팁+왕복픽업][아동반값] 세부 제이파크 디럭스가든 3박5일,https://www.modetour.com/package/86747816,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,5,3,0,18,3,9,6,21,0,3,0,12,3,0,12,0,0,3,3
[$140상당특전/호핑+노쇼핑+노팁+아동반값] 세부 제이파크 디럭스가든 3박5일,https://www.modetour.com/package/86748719,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
[$140상당특전/호핑+노쇼핑+노팁+왕복픽업] 세부 두짓타니 디럭스가든 3박5일,https://www.modetour.com/package/86754214,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.5,21,3,66,33,18,12,168,0,9,48,69,18,3,120,0,0,12,15
